mlb_rank,name,mlbid,PA_bp,PA_br,PA_fg,PA_agg_max,PA_agg_mean,PA_agg_median,PA_agg_min,PA_agg_std,baserun_raa_bp,baserun_raa_br,baserun_raa_fg,baserun_raa_agg_max,baserun_raa_agg_mean,baserun_raa_agg_median,baserun_raa_agg_min,baserun_raa_agg_std,baserun_waa_bp,baserun_waa_br,baserun_waa_fg,baserun_waa_agg_max,baserun_waa_agg_mean,baserun_waa_agg_median,baserun_waa_agg_min,baserun_waa_agg_std,bat_plus_bp,bat_plus_br,bat_plus_fg,bat_plus_agg_max,bat_plus_agg_mean,bat_plus_agg_median,bat_plus_agg_min,bat_plus_agg_std,bat_plus_sd_bp,bat_raa_bp,bat_raa_br,bat_raa_fg,bat_raa_agg_max,bat_raa_agg_mean,bat_raa_agg_median,bat_raa_agg_min,bat_raa_agg_std,bat_waa_bp,bat_waa_br,bat_waa_fg,bat_waa_agg_max,bat_waa_agg_mean,bat_waa_agg_median,bat_waa_agg_min,bat_waa_agg_std,field_raa_bp,field_raa_br,field_raa_fg,field_raa_agg_max,field_raa_agg_mean,field_raa_agg_median,field_raa_agg_min,field_raa_agg_std,field_waa_bp,field_waa_br,field_waa_fg,field_waa_agg_max,field_waa_agg_mean,field_waa_agg_median,field_waa_agg_min,field_waa_agg_std,league_name_br,name_x,name_y,pLI_fg,position_fg,position_primary_fg,positional_raa_br,positional_raa_fg,positional_waa_br,positional_waa_fg,raa_br,raa_noposadjust_bp,raa_noposadjust_br,raa_noposadjust_fg,raa_noposadjust_agg_max,raa_noposadjust_agg_mean,raa_noposadjust_agg_median,raa_noposadjust_agg_min,raa_noposadjust_agg_std,rar_bp,rar_br,rar_fg,rar_agg_max,rar_agg_mean,rar_agg_median,rar_agg_min,rar_agg_std,re24_fg,replacement_runs_br,replacement_runs_fg,replacement_runs_positional_bp,replacement_runs_positional_br,replacement_runs_positional_fg,replacement_runs_positional_agg_max,replacement_runs_positional_agg_mean,replacement_runs_positional_agg_median,replacement_runs_positional_agg_min,replacement_runs_positional_agg_std,replacement_wins_br,replacement_wins_fg,replacement_wins_positional_bp,replacement_wins_positional_br,replacement_wins_positional_fg,replacement_wins_positional_agg_max,replacement_wins_positional_agg_mean,replacement_wins_positional_agg_median,replacement_wins_positional_agg_min,replacement_wins_positional_agg_std,rewaa_fg,runs_per_win_bp,runs_per_win_br,runs_per_win_fg,runs_per_win_agg_max,runs_per_win_agg_mean,runs_per_win_agg_median,runs_per_win_agg_min,runs_per_win_agg_std,team_code_br,team_code_fg,waa_br,war_bp,war_br,war_fg,war_agg_max,war_agg_mean,war_agg_median,war_agg_min,war_agg_std,war_component_sum_bp,war_component_sum_br,war_component_sum_fg,war_component_sum_agg_max,war_component_sum_agg_mean,war_component_sum_agg_median,war_component_sum_agg_min,war_component_sum_agg_std,wpa_fg,wpali_fg
1,Aaron Judge,592450,626.0,626.0,626.0,626.0,626.0,626.0,626.0,0.0,-0.58743936,-1.35,-0.6587984608486295,-0.58743936,-0.8654126069495431,-0.6587984608486295,-1.35,0.34389120028099945,-0.060358904640139405,-0.13373700623700624,-0.06769099277827255,-0.060358904640139405,-0.08726230121847274,-0.06769099277827255,-0.13373700623700624,0.032998621527129644,208.761800503959,219.2491616709,214.06434893325428,219.2491616709,214.02510370270443,214.06434893325428,208.761800503959,4.281537200784805,27.0079236386292,80.0822,82.86,82.81643655883997,82.86,81.91954551961332,82.81643655883997,80.0822,1.299321197698703,8.228379305691352,8.208480249480248,8.509319833269561,8.509319833269561,8.315393129480388,8.228379305691352,8.208480249480248,0.13736731280627093,-8.7,-5.0,-6.104576110839844,-5.0,-6.601525370279948,-6.104576110839844,-8.7,1.5508532973481726,-0.89391774900683,-0.4953222453222453,-0.6272401075451521,-0.4953222453222453,-0.6721600339580758,-0.6272401075451521,-0.89391774900683,0.1657969515825483,AL,Aaron Judge,Aaron Judge,0.9016223549842834,OF,OF,-0.56,-1.34199942369014,-0.05547609147609148,-0.13788932229810957,76.0,70.79476063999999,76.51,76.0530619871515,76.51,74.45260754238383,76.0530619871515,70.79476063999999,2.593206645301754,92.0688733291626,96.2,93.73234930436044,96.2,94.0004075445077,93.73234930436044,92.0688733291626,1.6971433464715855,79.7750015258789,20.2,19.02128674089909,21.274112689162607,19.64,17.67928731720895,21.274112689162607,19.531133335457184,19.64,17.67928731720895,1.4695988855686544,2.001101871101871,1.954421359383676,2.185897347955618,1.9456257796257794,1.8165320370855662,2.185897347955618,1.9826850548889878,1.9456257796257794,1.8165320370855662,0.1530527700518314,8.237909317016602,9.732439041137695,10.094438614900316,9.732439041137694,10.094438614900316,9.853105565725235,9.732439041137695,9.732439041137694,0.17064823559612624,NYY,NYY,7.61,9.46,9.53,9.630920770031702,9.630920770031702,9.5403069233439,9.53,9.46,0.0701576886196147,9.46,9.525046777546777,9.630920770031704,9.630920770031704,9.538655849192827,9.525046777546777,9.46,0.07043854309660337,4.760628700256348,8.225093841552734
2,Bobby Witt Jr,677951,629.0,629.0,629.0,629.0,629.0,629.0,629.0,0.0,1.19290976,1.43,3.351973253302276,3.351973253302276,1.9916276711007586,1.43,1.19290976,0.9667671290568388,0.12257048361235379,0.14364269662921347,0.3444124580831116,0.3444124580831116,0.20354187944155963,0.14364269662921347,0.12257048361235379,0.09998132987533635,167.989591540896,171.7849511279,169.9811059162853,171.7849511279,169.91854952836044,169.9811059162853,167.989591540896,1.5500803366102192,17.1086583018793,50.2866,52.38,51.05328918129257,52.38,51.23996306043085,51.05328918129257,50.2866,0.8647605614135452,5.16690623875941,5.261541573033708,5.245682913142045,5.261541573033708,5.224710241645054,5.245682913142045,5.16690623875941,0.04138317963933788,-0.65,6.0,11.766878128051758,11.766878128051758,5.70562604268392,6.0,-0.65,5.073441148555352,-0.06678695825913099,0.6026966292134831,1.2090369205822675,1.2090369205822675,0.5816488638455398,0.6026966292134831,-0.06678695825913099,0.521065510133301,AL,Bobby Witt Jr,Bobby Witt Jr,0.9206669330596924,SS,SS,8.52,8.042496684473008,0.8558292134831459,0.82635983133092,68.3,50.82950976,59.81,66.1721405626466,66.1721405626466,58.937216774215536,59.81,50.82950976,6.2939332114869755,71.43610256195068,89.0,93.32708031425304,93.32708031425304,84.58772762540123,89.0,71.43610256195068,9.465897998206854,58.89699935913086,20.63,19.112443067133427,20.606592801950676,29.15,27.154939751606435,29.15,25.63717751785237,27.154939751606435,20.606592801950676,3.6492148275647684,2.072271910112359,1.963787595930242,2.117310235887367,2.9281011235955052,2.7901474272611617,2.9281011235955052,2.611852928914678,2.7901474272611617,2.117310235887367,0.35420066064601086,5.732268810272217,9.732439041137695,9.955257270693513,9.732439041137697,9.955257270693513,9.80671178432297,9.732439041137697,9.732439041137695,0.1050375207272661,KCR,KCR,6.97,7.34,8.94,9.589279719068587,9.589279719068587,8.62309323968953,8.94,7.34,0.9452115229588117,7.339999999999999,8.93598202247191,9.589279719068585,9.589279719068585,8.621753913846833,8.93598202247191,7.339999999999999,0.9447642710718498,4.579280376434326,5.240797996520996
3,Juan Soto,665742,632.0,632.0,632.0,632.0,632.0,632.0,632.0,0.0,-1.0708632,-2.87,-4.150479543954134,-1.0708632,-2.6971142479847114,-2.87,-4.150479543954134,1.263177559153839,-0.11003030129175297,-0.2881619433198381,-0.42645831393452577,-0.11003030129175297,-0.27488351951537227,-0.2881619433198381,-0.42645831393452577,0.129521965190753,188.760724514346,181.5492825625,182.84149350934888,188.760724514346,184.38383352873166,182.84149350934888,181.5492825625,3.1395682620123995,20.6946922817771,66.0837,58.51,60.72356755973218,66.0837,61.77242251991072,60.72356755973218,58.51,3.179654642474906,6.790045097706051,5.874688259109312,6.239295956857466,6.790045097706051,6.30134310455761,6.239295956857466,5.874688259109312,0.37625959291845923,-7.06,3.0,3.022137403488159,3.022137403488159,-0.3459541988372801,3.0,-7.06,4.7475559172582935,-0.7254091158607149,0.30121457489878545,0.31052209941557257,0.31052209941557257,-0.03789081384878564,0.30121457489878545,-0.7254091158607149,0.48616370302205986,AL,Juan Soto,Juan Soto,0.8509959578514099,OF,OF,-4.46,-4.66491137072444,-0.44780566801619437,-0.47931575538325943,54.2,57.95283679999999,58.64,59.59522541926621,59.59522541926621,58.729354073088736,58.64,57.95283679999999,0.6734726952925684,78.73543184280395,74.1,74.13391344190953,78.73543184280395,75.65644842823782,74.13391344190953,74.1,2.177214073193155,60.04999923706055,19.91,19.203599393367767,20.782595042803955,15.45,14.538688022643328,20.782595042803955,16.92376102181576,15.45,14.538688022643328,2.753854556940189,1.9990607287449393,1.9731538324768094,2.135394319446416,1.551255060728745,1.49383807709355,2.135394319446416,1.7268291524229038,1.551255060728745,1.49383807709355,0.2898485803325061,6.197733402252197,9.732439041137695,9.959677419354838,9.732439041137695,9.959677419354838,9.808185167210077,9.732439041137695,9.732439041137695,0.1071211987887834,NYY,NYY,5.55,8.09,7.44,7.617197819432063,8.09,7.715732606477354,7.617197819432063,7.44,0.2743560073985934,8.09,7.438995951417004,7.617197819432063,8.09,7.715397923616355,7.617197819432063,7.438995951417004,0.2746925713887161,5.118245601654053,6.672384262084961
4,Gunnar Henderson,683002,639.0,639.0,639.0,639.0,639.0,639.0,639.0,0.0,1.6184224,5.199999999999999,3.1302891029044986,5.199999999999999,3.316237167634833,3.1302891029044986,1.6184224,1.4680728951674835,0.16629155272991167,0.523233830845771,0.3216345963918389,0.523233830845771,0.3370533266558405,0.3216345963918389,0.16629155272991167,0.14612836915728217,134.150536359569,159.8805479563,155.50865247532448,159.8805479563,149.84657893039784,155.50865247532448,134.150536359569,11.241372449219199,18.2700260761508,25.7074,42.35,41.139008763984826,42.35,36.398802921328276,41.139008763984826,25.7074,7.576111459188303,2.641413924231975,4.261337064676617,4.226998863295812,4.261337064676617,3.709916617401468,4.226998863295812,2.641413924231975,0.7556755397220697,2.95,4.0,-2.643226385116577,4.0,1.435591204961141,2.95,-2.643226385116577,2.9158406106239245,0.30311004132990216,0.4024875621890547,-0.27158930808032994,0.4024875621890547,0.14466943181287564,0.30311004132990216,-0.27158930808032994,0.29712228326188905,AL,Gunnar Henderson,Gunnar Henderson,0.8669456839561462,3B/SS,3B,8.48,7.954695517662913,0.853273631840796,0.8173383346188449,60.0,30.2758224,51.55,41.62607148177275,51.55,41.15063129392424,41.62607148177275,30.2758224,8.69165080861135,50.80333179473877,80.4,68.99706448735023,80.4,66.733465427363,68.99706448735023,50.80333179473877,12.18834423377137,32.26329803466797,20.34,19.41629748791456,20.527509394738768,28.82,27.37099300557747,28.82,25.572834133438747,27.37099300557747,20.527509394738768,3.616294752613957,2.046649253731343,1.9950083844187987,2.109184481708211,2.8999228855721393,2.8123467190376434,2.8999228855721393,2.607151362105998,2.8123467190376434,2.109184481708211,0.35392622274145147,3.4448421001434326,9.732439041137695,9.938195302843017,9.732439041137697,9.938195302843017,9.801024461706136,9.732439041137697,9.732439041137695,0.09699443194895076,BAL,BAL,6.15,5.22,8.09,7.089390870644966,8.09,6.7997969568816545,7.089390870644966,5.22,1.1894322108094444,5.22,8.086981343283583,7.089390870644964,8.086981343283583,6.798790737976183,7.089390870644964,5.22,1.1883410939945847,2.324628591537476,2.931656837463379
5,Shohei Ohtani,660271,638.0,638.0,638.0,638.0,638.0,638.0,638.0,0.0,2.8909248,9.84,6.718297136947513,9.84,6.483073978982504,6.718297136947513,2.8909248,2.8418197203371918,0.2970401137659794,0.9729593267882187,0.6902994314734655,0.9729593267882187,0.6534329573425546,0.6902994314734655,0.2970401137659794,0.27717148520880797,170.733680462015,175.1615286136,167.36747173719135,175.1615286136,171.08756027093546,170.733680462015,167.36747173719135,3.19173451668989,25.1855732318655,52.8408,53.12,51.42411567675364,53.12,52.461638558917876,52.8408,51.42411567675364,0.7424412247268224,5.429348159967828,5.252398316970547,5.283785026486258,5.429348159967828,5.321843834474878,5.283785026486258,5.252398316970547,0.07708941294940838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NL,Shohei Ohtani,Shohei Ohtani,0.9820268154144288,DH,DH,-11.69,-12.921692272648215,-1.155883590462833,-1.3276931114626023,51.3,55.7317248,62.959999999999994,58.14241281370115,62.959999999999994,58.94471253790038,58.14241281370115,55.7317248,3.0049685774642585,65.20734157562256,71.3,64.60663258688939,71.3,67.03799138750398,65.20734157562256,64.60663258688939,3.02365682378461,50.74959945678711,20.05,19.38591204583645,9.475616775622562,8.360000000000001,6.464219773188233,9.475616775622562,8.099945516270266,8.360000000000001,6.464219773188233,1.2430739391922938,1.9825035063113605,1.9918863055699432,0.9736117262661929,0.8266199158485275,0.6641931941073409,0.9736117262661929,0.8214749454073537,0.8266199158485275,0.6641931941073409,0.1263719643261248,5.168714046478272,9.732439041137695,10.113475177304965,9.732439041137697,10.113475177304965,9.859451086526786,9.732439041137697,9.732439041137695,0.17962215717399752,LAD,LAD,5.16,6.7,7.05,6.638277652067065,7.05,6.796092550689021,6.7,6.638277652067065,0.18129930441178166,6.700000000000001,7.051977559607294,6.638277652067064,7.051977559607294,6.796751737224786,6.700000000000001,6.638277652067064,0.18222253312311865,4.4394850730896,5.675452709197998
6,Francisco Lindor,596019,647.0,647.0,647.0,647.0,647.0,647.0,647.0,0.0,1.02796912,4.26,3.998399741947651,4.26,3.0954562873158835,3.998399741947651,1.02796912,1.4658299273824724,0.10562297032171633,0.42269254658385086,0.410832241028889,0.42269254658385086,0.3130492526448187,0.410832241028889,0.10562297032171633,0.14675243021440748,137.896236956212,136.4177850672,136.03831396672993,137.896236956212,136.78411199671396,136.4177850672,136.03831396672993,0.8015052601935305,17.59910544083,28.8,28.95,27.897459108512543,28.95,28.549153036170846,28.8,27.897459108512543,0.46486824765018525,2.959175996712265,2.8725232919254653,2.86644067233237,2.959175996712265,2.899379986990033,2.8725232919254653,2.86644067233237,0.042355020554864356,5.62,2.0,11.003111839294434,11.003111839294434,6.2077039464314785,5.62,2.0,3.698923505039383,0.5774503160251018,0.19844720496894408,1.1305605709715496,1.1305605709715496,0.6354860306551985,0.5774503160251018,0.19844720496894408,0.3827400683663752,NL,Francisco Lindor,Francisco Lindor,0.9597339034080504,SS,SS,8.69,8.52073557395488,0.862253105590062,0.8754984786381801,43.9,35.44796912,35.21,42.89897068975463,42.89897068975463,37.852313269918206,35.44796912,35.21,3.5698478642103564,56.25349765777588,64.4,71.07908728824899,71.07908728824899,63.91086164867496,64.4,56.25349765777588,6.062396072942922,28.865100860595703,20.48,19.65938102453947,20.805528537775878,29.17,28.18011659849435,29.17,26.05188171209008,28.18011659849435,20.805528537775878,3.731678220262442,2.032099378881987,2.0199850152096452,2.137750716940917,2.8943524844720496,2.8954834938478253,2.8954834938478253,2.642528898420264,2.8943524844720496,2.137750716940917,0.35693237377104503,3.10619592666626,9.732439041137695,10.078247261345854,9.732439041137695,10.078247261345854,9.847708447873748,9.732439041137695,9.732439041137695,0.16301555833282683,NYM,NYM,4.45,5.78,6.39,7.303316978180634,7.303316978180634,6.491105659393544,6.39,5.78,0.6259874438434033,5.779999999999999,6.3880155279503095,7.303316978180634,7.303316978180634,6.490444168710314,6.3880155279503095,5.779999999999999,0.6260949735406504,3.208116054534912,2.7427353858947754
7,Jarren Duran,680776,644.0,644.0,644.0,644.0,644.0,644.0,644.0,0.0,1.58852992,10.21,8.579167601652443,10.21,6.7925658405508145,8.579167601652443,1.58852992,3.7395539818417194,0.16322012532372412,1.0404476190476193,0.8815023207840779,1.0404476190476193,0.6950566883851405,0.8815023207840779,0.16322012532372412,0.3816224131404901,115.980171274695,137.3797704011,137.13450508461432,137.3797704011,130.1648155868031,137.13450508461432,115.980171274695,10.030557959377047,15.993106086154,12.1236,32.13,27.73676379267163,32.13,23.996787930890545,27.73676379267163,12.1236,8.585048041994442,1.2456897956160005,3.2742000000000004,2.8499293625608244,3.2742000000000004,2.4566063860589415,2.8499293625608244,1.2456897956160005,0.8735905353599513,-2.59,21.0,8.609082221984863,21.0,9.006360740661622,8.609082221984863,-2.59,9.634673413114099,-0.2661203413709988,2.14,0.8845760230909687,2.14,0.9194852272399899,0.8845760230909687,-0.2661203413709988,0.9826046216359735,AL,Jarren Duran,Jarren Duran,0.9027376174926758,OF,OF,0.44,0.4233707990497353,0.04483809523809524,0.043500996745030156,63.8,11.122129919999999,63.34,44.92501361630894,63.34,39.79571451210298,44.92501361630894,11.122129919999999,21.62419587558107,34.35550981521606,84.0,64.91660911366381,84.0,61.090706309626626,64.91660911366381,34.35550981521606,20.44703728540693,27.25659942626953,20.2,19.56822469830513,23.23337989521606,20.64,19.991595497354865,23.23337989521606,21.288325130856975,20.64,19.991595497354865,1.4006035906064698,2.0584761904761906,2.010618778663078,2.387210420431274,2.1033142857142857,2.054119775408108,2.387210420431274,2.1815481605178895,2.1033142857142857,2.054119775408108,0.14680542411772257,2.7187204360961914,9.732439041137695,9.813084112149532,9.732439041137695,9.813084112149532,9.759320731474974,9.732439041137695,9.732439041137695,0.03801645105449371,BOS,BOS,6.64,3.53,8.56,6.67012748184398,8.56,6.253375827281327,6.67012748184398,3.53,2.0745258825710087,3.53,8.557961904761905,6.670127481843979,8.557961904761905,6.252696462201961,6.670127481843979,3.53,2.073770595003824,3.101514339447021,3.52990198135376
8,Vladimir Guerrero Jr,665489,612.0,612.0,612.0,612.0,612.0,612.0,612.0,0.0,-0.70530216,-3.04,-4.841578220948577,-0.70530216,-2.862293460316192,-3.04,-4.841578220948577,1.6932965134669244,-0.07246920910768449,-0.3061675579322638,-0.49746812700124654,-0.07246920910768449,-0.2920349646803983,-0.3061675579322638,-0.49746812700124654,0.17379263063910713,155.921100840849,168.4528907188,168.17021855986908,168.4528907188,164.18140337317269,168.17021855986908,155.921100840849,5.84205582145496,16.0691354610702,40.3164,46.84,48.38807989683337,48.38807989683337,45.18149329894445,46.84,40.3164,3.4977123425958085,4.142476498397582,4.717397504456328,4.971834880475854,4.971834880475854,4.610569627776588,4.717397504456328,4.142476498397582,0.346908227929519,-3.81,-1.0,-6.222880840301514,-1.0,-3.6776269467671714,-3.81,-6.222880840301514,2.1342856786153375,-0.39147432456506004,-0.10071301247771836,-0.6393958198965587,-0.10071301247771836,-0.3771943856464457,-0.39147432456506004,-0.6393958198965587,0.2201480248133066,AL,Vladimir Guerrero Jr,Vladimir Guerrero Jr,0.8654025793075562,1B,1B,-6.91,-8.497656071558593,-0.6959269162210339,-0.873127079002515,35.9,35.80109784,42.800000000000004,37.32362083558328,42.800000000000004,38.641572891861095,37.32362083558328,35.80109784,3.0054290961855883,52.16587326049805,56.1,47.42185531583018,56.1,51.89590952544274,52.16587326049805,47.42185531583018,3.5479768040889628,41.34799957275391,20.2,18.595890551805496,16.364775420498056,13.29,10.098234480246903,16.364775420498056,13.25100330024832,13.29,10.098234480246903,2.558453230098815,2.0344028520499107,1.9107122554996951,1.6814670352751635,1.338475935828877,1.0375851764971802,1.6814670352751635,1.3525093825337402,1.338475935828877,1.0375851764971802,0.2630509015832758,4.211236476898193,9.732439041137695,9.929203539823009,9.732439041137695,9.929203539823009,9.798027207366133,9.732439041137695,9.732439041137695,0.09275567421143777,TOR,TOR,3.72,5.36,5.65,4.872556110075229,5.65,5.294185370025076,5.36,4.872556110075229,0.3207838572771308,5.360000000000001,5.648992869875224,4.872556110075229,5.648992869875224,5.293849659983485,5.360000000000001,4.872556110075229,0.3204116218298001,2.5882179737091064,4.375676155090332
9,Yordan Alvarez,670541,573.0,573.0,573.0,573.0,573.0,573.0,573.0,0.0,-0.51930728,-1.9500000000000002,-2.7027407931163907,-0.51930728,-1.7240160243721305,-1.9500000000000002,-2.7027407931163907,0.9055926400173459,-0.05335839020465053,-0.19538537549407115,-0.2777043639001769,-0.05335839020465053,-0.17548270986629952,-0.19538537549407115,-0.2777043639001769,0.0926637867154392,168.855902493728,174.4861447461,171.02333832232796,174.4861447461,171.45512852071863,171.02333832232796,168.855902493728,2.318726523571137,20.9367765053214,46.3786,46.16,47.20065052437598,47.20065052437598,46.579750174792,46.3786,46.16,0.4480211476296921,4.765362495872203,4.625122529644268,4.84982750211589,4.84982750211589,4.74677084254412,4.765362495872203,4.625122529644268,0.092672607759689,-3.85,-4.0,-3.374756336212158,-3.374756336212158,-3.7415854454040525,-3.85,-4.0,0.2665179124848074,-0.39558429122716043,-0.40079051383399206,-0.34675340086359885,-0.34675340086359885,-0.38104273530825045,-0.39558429122716043,-0.40079051383399206,0.024339200629859763,AL,Yordan Alvarez,Yordan Alvarez,0.970024585723877,DH/OF,DH,-8.8,-9.563897893298417,-0.8817391304347827,-0.9826825375297111,31.4,42.00929272,40.209999999999994,41.12315339504743,42.00929272,41.1141487050158,41.12315339504743,40.209999999999994,0.7345857727967862,56.1561732673645,50.6,48.97011381250808,56.1561732673645,51.90876235995753,50.6,48.97011381250808,3.076199690994722,40.56500244140625,19.19,17.410858310759068,14.146880547364503,10.39,7.84696041746065,14.146880547364503,10.794613654941719,10.39,7.84696041746065,2.587796046589442,1.9227924901185771,1.7889511803943228,1.453580185559608,1.0410533596837945,0.8062686428646116,1.453580185559608,1.100300729369338,1.0410533596837945,0.8062686428646116,0.2675640065947282,4.096356391906738,9.732439041137695,9.980276134122288,9.732439041137694,9.980276134122288,9.815051405465892,9.732439041137695,9.732439041137694,0.11683152605264484,HOU,HOU,3.24,5.77,5.07,5.031638380216725,5.77,5.290546126738908,5.07,5.031638380216725,0.33938661916944235,5.770000000000001,5.069999999999999,5.031638380216726,5.770000000000001,5.290546126738909,5.069999999999999,5.031638380216726,0.3393866191694431,3.123609066009521,4.796613693237305
10,Ketel Marte,606466,509.0,509.0,509.0,509.0,509.0,509.0,509.0,0.0,0.05790488,-0.5299999999999999,0.8221379658207297,0.8221379658207297,0.11668094860690993,0.05790488,-0.5299999999999999,0.5535703745289111,0.005949678159323059,-0.05299999999999999,0.0844739907792553,0.0844739907792553,0.012474556312859457,0.005949678159323059,-0.05299999999999999,0.056312846736676136,139.554181321899,152.0667101641,147.68443202212927,152.0667101641,146.43510783604276,147.68443202212927,139.554181321899,5.184042997390067,18.9409930865091,23.6753,29.7,29.03957799223101,29.7,27.47162599741033,29.03957799223101,23.6753,2.697913714464888,2.4326173428806213,2.9699999999999998,2.983792435738325,2.983792435738325,2.795469926206316,2.9699999999999998,2.4326173428806213,0.25663730014749914,2.23,11.0,4.85749101638794,11.0,6.029163672129314,4.85749101638794,2.23,3.674945587729523,0.22913064141209552,1.1,0.49910315347016176,1.1,0.6094112649607525,0.49910315347016176,0.22913064141209552,0.36398651030616735,NL,Ketel Marte,Ketel Marte,0.9064703583717346,2B,2B,1.53,0.6610228708013892,0.153,0.06791954904698973,41.7,25.96320488,40.17,34.71920697443968,40.17,33.61747061814656,34.71920697443968,25.96320488,5.85198679336044,44.963868370056154,58.7,50.84641986300087,58.7,51.503429411019006,50.84641986300087,44.963868370056154,5.626963313571908,32.54549789428711,17.02,15.4661900177598,19.000663490056155,18.55,16.12721288856119,19.000663490056155,17.892625459539115,18.55,16.12721288856119,1.2618202604815436,1.702,1.5891381340675572,1.9523023375479607,1.855,1.657057683114547,1.9523023375479607,1.8214533402208357,1.855,1.657057683114547,0.12284512004859538,3.291523694992065,9.732439041137695,10.0,9.732439041137694,10.0,9.82162602742513,9.732439041137695,9.732439041137694,0.1261294455948741,ARI,ARI,4.26,4.62,5.87,5.224427263102289,5.87,5.238142421034097,5.224427263102289,4.62,0.5104025072873506,4.620000000000001,5.872,5.224427263102289,5.872,5.238809087700763,5.224427263102289,4.620000000000001,0.5112280167460082,2.771392107009888,2.650053024291992
